tournament,round,game_id,team,player,tossups,negs,pts,opponent,packet
ACF Nationals 2021,1,20210101,Stanford,Tim Morrison,6,1,55,Chicago B,Texas
ACF Nationals 2021,1,20210101,Stanford,Natan Holtzman,3,1,25,Chicago B,Texas
ACF Nationals 2021,1,20210101,Stanford,Ethan Strombeck,3,0,30,Chicago B,Texas
ACF Nationals 2021,1,20210101,Stanford,Eric Wolfsberg,1,0,10,Chicago B,Texas
ACF Nationals 2021,1,20210101,Chicago B,John Marvin,2,1,15,Stanford,Texas
ACF Nationals 2021,1,20210101,Chicago B,Sam Moore,1,0,10,Stanford,Texas
ACF Nationals 2021,1,20210101,Chicago B,Wonyoung Jang,0,0,0,Stanford,Texas
ACF Nationals 2021,1,20210101,Chicago B,Walker Combs,1,0,10,Stanford,Texas
ACF Nationals 2021,1,20210102,Illinois,Iain Carpenter,3,2,20,Harvard B,Texas
ACF Nationals 2021,1,20210102,Illinois,Mitch McCullar,2,1,15,Harvard B,Texas
ACF Nationals 2021,1,20210102,Illinois,Olivia Kiser,3,0,30,Harvard B,Texas
ACF Nationals 2021,1,20210102,Illinois,Auroni Gupta,6,0,60,Harvard B,Texas
ACF Nationals 2021,1,20210102,Harvard B,Mazin Omer,2,0,20,Illinois,Texas
ACF Nationals 2021,1,20210102,Harvard B,Christopher Gilmer-Hill,3,0,30,Illinois,Texas
ACF Nationals 2021,1,20210103,Northwestern,Rohin Devanathan,1,0,10,Ohio State,Texas
ACF Nationals 2021,1,20210103,Northwestern,Christopher Sims,3,0,30,Ohio State,Texas
ACF Nationals 2021,1,20210103,Northwestern,Andrew Salij,1,1,5,Ohio State,Texas
ACF Nationals 2021,1,20210103,Northwestern,Nikhil Chellam,3,1,25,Ohio State,Texas
ACF Nationals 2021,1,20210103,Ohio State,Eddy Liu,1,0,10,Northwestern,Texas
ACF Nationals 2021,1,20210103,Ohio State,Roxanne Tang,0,1,-5,Northwestern,Texas
ACF Nationals 2021,1,20210103,Ohio State,Chris Ray,5,1,45,Northwestern,Texas
ACF Nationals 2021,1,20210103,Ohio State,Clark Smith,4,1,35,Northwestern,Texas
ACF Nationals 2021,1,20210104,Vanderbilt,Aidan Fein,1,0,10,Maryland,Texas
ACF Nationals 2021,1,20210104,Vanderbilt,Jacob Augelli,4,0,40,Maryland,Texas
ACF Nationals 2021,1,20210104,Vanderbilt,Michael Ponce,2,0,20,Maryland,Texas
ACF Nationals 2021,1,20210104,Vanderbilt,Jonathan Caldwell,1,1,5,Maryland,Texas
ACF Nationals 2021,1,20210104,Maryland,Vishwa Shanmugam,3,2,20,Vanderbilt,Texas
ACF Nationals 2021,1,20210104,Maryland,Connor Mayers,0,0,0,Vanderbilt,Texas
ACF Nationals 2021,1,20210104,Maryland,Caleb Kendrick,4,0,40,Vanderbilt,Texas
ACF Nationals 2021,1,20210104,Maryland,Graham Reid,4,0,40,Vanderbilt,Texas
ACF Nationals 2021,1,20210105,Columbia,Will Alston,8,1,75,Yale,Texas
ACF Nationals 2021,1,20210105,Columbia,Noah Chen,1,0,10,Yale,Texas
ACF Nationals 2021,1,20210105,Columbia,Noah Sheidlower,1,0,10,Yale,Texas
ACF Nationals 2021,1,20210105,Columbia,Caroline Mao,2,0,20,Yale,Texas
ACF Nationals 2021,1,20210105,Yale,Hasna Karim,1,0,10,Columbia,Texas
ACF Nationals 2021,1,20210105,Yale,Daniel Sheinberg,2,0,20,Columbia,Texas
ACF Nationals 2021,1,20210105,Yale,Matt Pecoraro,2,0,20,Columbia,Texas
ACF Nationals 2021,1,20210105,Yale,Michał Gerasimiuk,3,2,20,Columbia,Texas
ACF Nationals 2021,1,20210106,Princeton,Eve Fleisig,2,0,20,Florida,Texas
ACF Nationals 2021,1,20210106,Princeton,Nathaniel Hull,1,0,10,Florida,Texas
ACF Nationals 2021,1,20210106,Princeton,Maya Chande,0,0,0,Florida,Texas
ACF Nationals 2021,1,20210106,Princeton,Samuel Lockwood,0,0,0,Florida,Texas
