tournament,round,game_id,team,status,opponent,result,pf,pa,tossups,negs,bhrd,bpts,PPB,packet
ACF Nationals 2019,1,20190101,Columbia A,NA,UCLA,W,335,165,12,3,12,230,19.17,Yale-A / Michigan
ACF Nationals 2019,1,20190101,UCLA,UG,Columbia A,L,165,335,8,3,8,100,12.5,Yale-A / Michigan
ACF Nationals 2019,1,20190102,Minnesota A,NA,MIT A,W,445,45,15,1,15,300,20,Yale-A / Michigan
ACF Nationals 2019,1,20190102,MIT A,UG,Minnesota A,L,45,445,3,3,3,30,10,Yale-A / Michigan
ACF Nationals 2019,1,20190103,Iowa,UG,North Carolina,L,65,275,5,1,5,20,4,Yale-A / Michigan
ACF Nationals 2019,1,20190103,North Carolina,NA,Iowa,W,275,65,12,3,12,170,14.17,Yale-A / Michigan
ACF Nationals 2019,1,20190104,Chicago C,NA,Ohio State,L,115,320,5,3,5,80,16,Yale-A / Michigan
ACF Nationals 2019,1,20190104,Ohio State,NA,Chicago C,W,320,115,12,2,12,210,17.5,Yale-A / Michigan
ACF Nationals 2019,1,20190105,McGill,NA,New College of Florida,W,390,30,15,0,15,240,16,Yale-A / Michigan
ACF Nationals 2019,1,20190105,New College of Florida,NA,McGill,L,30,390,2,2,2,20,10,Yale-A / Michigan
ACF Nationals 2019,1,20190106,Caltech A,D2,Penn A,L,20,335,1,0,1,10,10,Yale-A / Michigan
ACF Nationals 2019,1,20190106,Penn A,NA,Caltech A,W,335,20,15,1,15,190,12.67,Yale-A / Michigan
ACF Nationals 2019,1,20190107,Florida B,UG,Stanford A,L,25,370,2,1,2,10,5,Yale-A / Michigan
ACF Nationals 2019,1,20190107,Stanford A,NA,Florida B,W,370,25,14,2,14,240,17.14,Yale-A / Michigan
ACF Nationals 2019,1,20190108,Berkeley A,UG,Illinois B,W,375,55,15,1,15,230,15.33,Yale-A / Michigan
ACF Nationals 2019,1,20190108,Illinois B,D2,Berkeley A,L,55,375,3,3,3,40,13.33,Yale-A / Michigan
ACF Nationals 2019,1,20190109,Gettysburg,UG,Michigan State,L,80,390,4,0,4,40,10,Yale-A / Michigan
ACF Nationals 2019,1,20190109,Michigan State,UG,Gettysburg,W,390,80,14,0,14,250,17.86,Yale-A / Michigan
ACF Nationals 2019,1,20190110,Harvard A,UG,Oklahoma,W,325,90,13,1,13,200,15.38,Yale-A / Michigan
ACF Nationals 2019,1,20190110,Oklahoma,NA,Harvard A,L,90,325,4,4,4,70,17.5,Yale-A / Michigan
ACF Nationals 2019,1,20190111,NYU,UG,Texas,L,160,220,8,0,8,80,10,Yale-A / Michigan
ACF Nationals 2019,1,20190111,Texas,NA,NYU,W,220,160,10,2,10,130,13,Yale-A / Michigan
ACF Nationals 2019,1,20190112,Minnesota B,D2,WUSTL,L,100,165,6,4,6,60,10,Yale-A / Michigan
ACF Nationals 2019,1,20190112,WUSTL,NA,Minnesota B,W,165,100,10,5,10,90,9,Yale-A / Michigan
ACF Nationals 2019,1,20190113,Oxford A,NA,Wright State,W,295,85,13,1,13,170,13.08,Yale-A / Michigan
ACF Nationals 2019,1,20190113,Wright State,NA,Oxford A,L,85,295,6,1,6,30,5,Yale-A / Michigan
ACF Nationals 2019,1,20190114,Carnegie Mellon,UG,Florida A,L,60,345,4,2,4,30,7.5,Yale-A / Michigan
ACF Nationals 2019,1,20190114,Florida A,NA,Carnegie Mellon,W,345,60,14,1,14,210,15,Yale-A / Michigan
ACF Nationals 2019,1,20190115,Illinois A,UG,Penn State,W,195,115,9,3,9,120,13.33,Yale-A / Michigan
ACF Nationals 2019,1,20190115,Penn State,NA,Illinois A,L,115,195,7,3,7,60,8.57,Yale-A / Michigan
ACF Nationals 2019,1,20190116,Johns Hopkins,NA,Rutgers,W,205,155,10,3,10,120,12,Yale-A / Michigan
ACF Nationals 2019,1,20190116,Rutgers,NA,Johns Hopkins,L,155,205,7,1,7,90,12.86,Yale-A / Michigan
ACF Nationals 2019,1,20190117,Auburn,UG,Maryland B,L,50,225,4,0,4,10,2.5,Yale-A / Michigan
